instance,arm,success,calls,input_tokens,cache_read,cache_write,output_tokens,cost_usd
sympy__sympy-13615,A0,1,33,1658093,1623566,33971,13306,0.8157
sphinx-doc__sphinx-9673,A0,1,42,2815124,2745752,68492,15020,1.3085
sympy__sympy-12489,A0,0,18,946750,908818,37170,8703,0.5449
sympy__sympy-13551,A0,1,25,1495430,1440888,53835,26595,1.0352
astropy__astropy-8872,A0,0,11,599692,556493,24930,7518,0.428
django__django-11211,A0,1,31,1609674,1556649,44916,12798,0.8517
django__django-13810,A0,1,47,2770690,2716580,53084,26636,1.4167
sympy__sympy-20801,A0,1,10,604091,579448,24002,5653,0.3506
matplotlib__matplotlib-25960,A0,1,38,2267954,2220852,46370,25390,1.2232
django__django-11749,A0,0,24,1037237,1018414,18014,5482,0.4577
django__django-14170,A0,0,30,1816252,1759197,56063,29083,1.1772
pylint-dev__pylint-6386,A0,1,54,3513145,3437284,59952,19183,1.5915
sympy__sympy-12096,A0,1,18,785661,763168,21826,7901,0.4313
matplotlib__matplotlib-26466,A0,0,35,1604255,1580142,23136,5337,0.6438
sphinx-doc__sphinx-9229,A0,1,90,8479246,8290490,157847,56193,4.0147
sphinx-doc__sphinx-9658,A0,1,38,3197950,3094147,102422,34905,1.84
django__django-13406,A0,0,48,2501114,2460461,39170,14784,1.1112
django__django-15022,A0,1,41,2273245,2225358,47027,21164,1.164
matplotlib__matplotlib-21568,A0,0,15,1903670,1835722,67027,23797,1.1618
sympy__sympy-15976,A0,1,20,898662,867846,29916,13094,0.5716
django__django-14034,A0,0,34,1848916,1795248,52811,31157,1.2065
sphinx-doc__sphinx-8035,A0,0,51,3412700,3309090,79784,24946,1.7376
django__django-12193,A0,1,14,461984,446717,14626,2297,0.2252
pydata__xarray-4695,A0,1,22,1613660,1564541,47240,10985,0.8169
django__django-13128,A0,1,35,2778598,2698182,79798,20242,1.4142
sympy__sympy-24443,A0,1,20,1001297,968431,32176,17302,0.6728
django__django-16032,A0,1,27,2011071,1899624,110689,54529,1.8052
django__django-11477,A0,0,43,2223202,2180236,42424,15716,1.0505
pytest-dev__pytest-7205,A0,1,19,834843,813936,19001,5472,0.4032
django__django-15732,A0,1,67,7968041,7801037,166296,93871,4.3741
django__django-14007,A0,1,57,3237454,3164414,72181,27439,1.6342
django__django-14792,A0,0,64,5126378,5012683,112690,50110,2.6811
pytest-dev__pytest-5840,A0,0,19,1397437,1346039,50726,17939,0.8651
sphinx-doc__sphinx-9602,A0,0,42,3087047,3005722,80419,29013,1.6412
sphinx-doc__sphinx-10673,A0,1,56,2843250,2779679,62665,17910,1.3403
scikit-learn__scikit-learn-13124,A0,1,95,7382809,7276829,102795,60877,3.4912
django__django-16631,A0,0,28,1489232,1443051,45495,11506,0.7782
pydata__xarray-6938,A0,0,17,819059,792645,24895,8027,0.4561
sympy__sympy-13757,A0,1,30,1442539,1348916,30596,10905,0.8721
pydata__xarray-4356,A0,1,22,1004158,978469,24993,7894,0.5078
scikit-learn__scikit-learn-25102,A0,1,44,2516778,2456981,58654,17751,1.2267
django__django-16938,A0,1,39,2026805,1989600,35449,7903,0.8536
sympy__sympy-17318,A0,0,21,974051,947021,25608,10690,0.5448
django__django-11532,A0,0,29,1257887,1228953,27593,13141,0.6733
django__django-16661,A0,1,17,798077,774979,22265,9946,0.4677
django__django-13112,A0,1,102,9422592,9297987,123392,48176,3.9784
sympy__sympy-21930,A0,0,42,2178964,2079458,40017,19799,1.2494
mwaskom__seaborn-3187,A0,0,1,3196549,3147162,48437,21231,1.4471
django__django-15973,A0,1,53,2900189,2852667,45160,16004,1.2723
sympy__sympy-20438,A0,0,58,3486840,3423502,62327,20227,1.5672
astropy__astropy-8707,dasein,0,18,301374,277148,23390,2732,0.2143
sympy__sympy-23413,dasein,1,20,1146134,995095,150433,111023,2.5298
sympy__sympy-15599,dasein,1,31,920164,869358,49614,25423,0.8318
matplotlib__matplotlib-20826,dasein,0,44,1166147,1121214,43593,16360,0.7493
django__django-11087,dasein,0,7,168535,140548,24332,2325,0.1792
pytest-dev__pytest-7324,dasein,1,22,661694,621239,39824,17862,0.6055
sphinx-doc__sphinx-11510,dasein,0,55,1471757,1422225,47069,18360,0.886
django__django-13297,dasein,1,34,999253,948761,49566,25230,0.8517
django__django-11433,dasein,0,22,460952,428744,31589,9347,0.3891
astropy__astropy-13579,dasein,1,21,662638,621541,38940,12919,0.5327
matplotlib__matplotlib-22871,dasein,1,13,313303,283850,28541,6768,0.2964
sphinx-doc__sphinx-8593,dasein,1,43,1262780,1220476,41547,15960,0.7636
django__django-14034,dasein,0,7,148543,125461,22251,2858,0.1664
django__django-12663,dasein,0,36,1414635,1353679,59487,34116,1.1453
django__django-11211,dasein,1,31,844642,808775,35110,8194,0.4995
sympy__sympy-13551,dasein,1,18,604984,560958,43330,21059,0.6487
django__django-13406,dasein,0,42,1161275,1117969,41830,14083,0.7079
sympy__sympy-12489,dasein,0,15,342657,313477,28426,5926,0.2918
django__django-13112,dasein,1,77,2829485,2768055,60258,23873,1.418
sympy__sympy-23950,dasein,1,10,170335,146996,22634,2650,0.1708
django__django-16899,dasein,1,13,268120,244921,22542,2934,0.204
matplotlib__matplotlib-26208,dasein,0,40,938491,897625,39393,12369,0.607
django__django-16263,dasein,0,57,1190966,1154462,34722,9672,0.627
pydata__xarray-6938,dasein,0,12,279519,253151,24853,4109,0.2353
astropy__astropy-13453,dasein,1,21,607556,570215,34416,7570,0.4224
sympy__sympy-14976,dasein,1,27,725674,690137,34789,6366,0.4352
sympy__sympy-17318,dasein,0,13,287411,261277,24718,3364,0.2258
sympy__sympy-18211,dasein,1,7,137927,116773,20460,1724,0.1397
matplotlib__matplotlib-20488,dasein,1,42,2579978,2478873,99904,68058,2.1428
django__django-15037,dasein,1,33,809214,764014,44584,11373,0.5688
scikit-learn__scikit-learn-25102,dasein,0,43,1275655,1234956,39559,8550,0.6505
django__django-16950,dasein,0,35,1434921,1364615,69280,38330,1.2472
sphinx-doc__sphinx-9658,dasein,1,43,1706884,1651148,54247,24885,1.0765
django__django-13121,dasein,1,51,1432654,1389444,42155,15418,0.8093
django__django-11749,dasein,0,16,335858,308096,26962,5453,0.2777
sphinx-doc__sphinx-10614,dasein,0,53,2470266,2403494,65232,32343,1.4554
django__django-14170,dasein,0,33,1105713,1060521,44201,19168,0.7744
django__django-11734,dasein,0,46,1476535,1420288,55474,26027,1.0268
django__django-14007,dasein,1,44,1071538,1035635,34898,10717,0.6053
django__django-15280,dasein,0,52,1737922,1673066,62204,32327,1.228
django__django-16454,dasein,0,49,1095443,1057227,36733,12344,0.6445
sphinx-doc__sphinx-8548,dasein,0,51,1555824,1508649,46485,16294,0.8734
sympy__sympy-22456,dasein,1,42,1438651,1388859,49223,24460,0.9699
matplotlib__matplotlib-26466,dasein,0,36,883415,853153,29289,6180,0.4614
django__django-16032,dasein,1,50,1535025,1476088,57992,27413,1.0743
django__django-15973,dasein,1,48,1511179,1460940,47632,11261,0.7936
django__django-13837,dasein,1,31,921986,882887,38211,14162,0.6233
sympy__sympy-13615,dasein,1,38,1300689,1251808,48319,23295,0.9078
psf__requests-5414,dasein,0,7,171148,143414,26790,6528,0.2442
matplotlib__matplotlib-21568,dasein,0,10,216852,188757,27211,6187,0.2541
sympy__sympy-20438,dasein,0,36,911389,873248,37162,10077,0.5554
django__django-16631,dasein,0,35,832774,798389,33615,9007,0.503
sphinx-doc__sphinx-10435,dasein,0,27,762175,719691,40984,17118,0.6309
django__django-16938,dasein,0,25,585206,556860,26601,4398,0.338
astropy__astropy-8872,dasein,0,19,421119,395392,24949,4276,0.2787
sympy__sympy-15976,dasein,1,36,971447,925711,44819,17606,0.7126
mwaskom__seaborn-3187,dasein,0,48,1218163,1181935,35290,12499,0.6772
django__django-15268,dasein,1,36,989158,952107,36143,10583,0.5826
django__django-11141,dasein,0,12,225836,203209,21980,2125,0.1772
matplotlib__matplotlib-24177,dasein,1,58,2429637,2368702,59685,29746,1.3844
scikit-learn__scikit-learn-13124,dasein,1,35,1309779,1257847,48806,19640,0.8644
django__django-11477,dasein,0,9,181734,159945,21286,1723,0.1552
sphinx-doc__sphinx-7440,dasein,1,44,1050988,1015615,34433,8714,0.5673
django__django-11555,dasein,1,14,329371,301800,26929,4610,0.2626
django__django-15022,dasein,1,43,1409035,1356564,51614,27899,1.0216
django__django-16661,dasein,1,21,542715,506155,35726,13392,0.4892
sphinx-doc__sphinx-8035,dasein,0,43,1213151,1176348,36143,11156,0.6578
sympy__sympy-24443,dasein,1,13,325614,296113,28816,7864,0.3169
pydata__xarray-4356,dasein,1,24,648011,614218,33094,9712,0.4561
sympy__sympy-20801,dasein,1,42,1403418,1357727,45028,21091,0.8945
django__django-11292,dasein,1,11,225453,203056,21862,1659,0.1694
pydata__xarray-4966,dasein,1,8,183100,157056,24089,3059,0.1892
astropy__astropy-13033,dasein,0,27,832227,790109,40886,14043,0.6047
pytest-dev__pytest-7205,dasein,1,23,543604,512655,29038,5929,0.3574
django__django-13810,dasein,1,13,280028,256186,22849,2782,0.2072
pylint-dev__pylint-6386,dasein,0,44,1204066,1162853,40278,13425,0.7041
pydata__xarray-6992,dasein,0,5,97690,76795,19973,1276,0.1198
django__django-12754,dasein,1,41,1109277,1068752,39816,10693,0.6325
sympy__sympy-21612,dasein,0,56,2816081,2711158,104149,76115,2.348
pydata__xarray-4695,dasein,1,13,229068,202304,24917,2819,0.202
pytest-dev__pytest-5840,dasein,0,8,132612,109017,22878,1765,0.1471
matplotlib__matplotlib-24026,dasein,1,13,303841,277326,25339,3730,0.2377
sphinx-doc__sphinx-9229,dasein,0,101,5629797,5541080,86963,51091,2.7601
astropy__astropy-13977,dasein,0,21,553830,521032,31282,8266,0.4022
django__django-11532,dasein,0,11,262550,235958,25265,2643,0.2092
sphinx-doc__sphinx-10673,dasein,1,19,409614,379487,29250,7232,0.3346
django__django-14122,dasein,1,35,725366,693953,30805,6011,0.4157
django__django-12193,dasein,0,14,316311,289943,25723,4289,0.2497
sympy__sympy-12096,dasein,1,10,205105,182662,21783,1952,0.1677
sphinx-doc__sphinx-9602,dasein,0,45,1687781,1621154,60180,29275,1.1705
sphinx-doc__sphinx-9673,dasein,1,39,1026188,993376,31950,6626,0.5198
django__django-13128,dasein,1,31,847875,811561,35721,10231,0.5327
astropy__astropy-13236,dasein,0,21,437398,409789,26520,4329,0.2906
pylint-dev__pylint-4604,dasein,0,35,838077,800680,36608,11257,0.5487
sympy__sympy-21930,dasein,0,23,535176,504104,30387,7410,0.3784
matplotlib__matplotlib-25960,dasein,1,43,1502865,1450982,51018,21761,0.9556
pylint-dev__pylint-6528,dasein,0,42,1326207,1284135,40945,14522,0.76
sympy__sympy-13757,dasein,1,38,1080677,1042655,37353,13980,0.6646
django__django-15732,dasein,0,38,851162,816504,34018,8011,0.4946
django__django-14792,dasein,0,28,631916,599964,30872,8452,0.4258
django__django-11087,woz,0,24,1671060,1583002,88024,40506,1.4127
sphinx-doc__sphinx-11510,woz,0,42,2445480,2346991,98438,35326,1.6033
matplotlib__matplotlib-20826,woz,1,88,9645980,9456593,189259,77993,4.717
django__django-13297,woz,0,24,1363785,1278159,85597,24535,1.0725
astropy__astropy-13579,woz,1,13,765220,678368,86819,16722,0.78
sympy__sympy-23413,woz,1,16,1180288,1104751,75505,32275,1.0988
django__django-11433,woz,0,30,1789700,1709703,78274,31262,1.2805
pytest-dev__pytest-7324,woz,1,10,385067,327427,57625,7518,0.4271
astropy__astropy-8707,woz,0,16,655662,563780,91862,3403,0.5647
sympy__sympy-15599,woz,0,7,296739,247594,49131,1467,0.2806
matplotlib__matplotlib-24177,woz,1,30,1934302,1864821,69438,22512,1.1576
psf__requests-5414,woz,1,14,617413,560179,57212,6748,0.4839
matplotlib__matplotlib-25960,woz,1,25,1630182,1541020,89121,27808,1.2138
django__django-13406,woz,0,15,898469,811896,86545,13882,0.7764
astropy__astropy-13236,woz,0,37,2522094,2412700,109332,15570,1.3675
sympy__sympy-12096,woz,1,38,1636338,1548253,88046,11625,0.9691
sympy__sympy-13757,woz,1,30,1380215,1341717,38467,8638,0.6764
mwaskom__seaborn-3187,woz,0,38,2128624,2079017,49568,14857,1.0326
pylint-dev__pylint-4604,woz,0,18,1162757,1067860,94857,9920,0.825
django__django-16950,woz,1,24,1399529,1320968,78521,41906,1.3195
pytest-dev__pytest-5840,woz,0,18,780155,699557,79940,25039,0.8872
sphinx-doc__sphinx-10435,woz,1,17,899242,821931,77280,11924,0.7153
sympy__sympy-22456,woz,1,36,1932059,1855477,76539,20593,1.1527
django__django-16263,woz,0,75,6417523,6034543,358964,159758,5.6249
sphinx-doc__sphinx-8035,woz,0,26,1350015,1256478,92199,19627,1.0211
django__django-11555,woz,1,61,3180444,3075054,87405,26162,1.6967
django__django-11141,woz,0,39,1624275,1575442,48795,19718,0.9515
sphinx-doc__sphinx-9658,woz,0,40,2404820,2261645,143118,50146,1.9675
sympy__sympy-21612,woz,0,46,3944135,3463421,477665,198578,5.8181
pydata__xarray-6992,woz,0,18,740789,712428,28342,3978,0.3797
pylint-dev__pylint-6528,woz,1,72,4248107,4152252,95773,20072,1.9062
django__django-13112,woz,1,50,4261854,4093152,168647,75774,2.9971
sympy__sympy-23950,woz,1,16,583413,557529,25868,3164,0.3118
django__django-14034,woz,0,24,1219909,1177448,42430,15026,0.7378
sphinx-doc__sphinx-10673,woz,1,41,2234238,2149272,84914,20158,1.2657
django__django-11292,woz,1,25,1524673,1403437,91217,15898,1.0916
sympy__sympy-14976,woz,1,22,960202,893400,66782,6157,0.6109
sympy__sympy-24443,woz,1,26,1357063,1279840,77195,22274,1.0076
sphinx-doc__sphinx-9229,woz,0,89,8368317,8138449,227537,119545,5.095
astropy__astropy-13453,woz,1,29,1272558,1212753,59775,4037,0.6486
django__django-11749,woz,0,20,799154,763288,35843,7879,0.4817
django__django-12754,woz,1,26,1456103,1378451,77607,21197,1.0227
django__django-16661,woz,1,17,955660,891698,63928,11017,0.6726
astropy__astropy-13033,woz,0,11,508497,479339,29138,4785,0.3249
sphinx-doc__sphinx-7440,woz,1,38,2276710,2206940,69725,27484,1.3359
sympy__sympy-18211,woz,1,25,946542,856907,89610,7813,0.7104
django__django-13810,woz,1,28,1418929,1375177,43711,9717,0.7223
django__django-16631,woz,0,50,2057635,1986441,71153,11814,1.0401
sympy__sympy-17318,woz,0,13,555145,499183,55947,6185,0.4524
matplotlib__matplotlib-26208,woz,1,51,4231512,4122469,108977,38808,2.2277
django__django-16032,woz,1,47,3507097,3422102,84932,36074,1.8864
matplotlib__matplotlib-21568,woz,0,25,1621752,1512751,108962,35774,1.3992
django__django-13837,woz,1,17,696067,653522,42522,12645,0.5453
sympy__sympy-13551,woz,1,14,827588,778580,48978,18472,0.6944
pydata__xarray-4356,woz,1,25,1090126,1054227,35873,7880,0.5691
django__django-13128,woz,1,15,785173,699414,80597,7286,0.6368
scikit-learn__scikit-learn-25102,woz,1,21,981963,910628,71306,11538,0.7137
sympy__sympy-20438,woz,0,22,1121362,1040644,80680,10228,0.7683
django__django-15268,woz,1,17,885271,832699,52536,10694,0.6073
django__django-14792,woz,0,12,693264,637715,55524,19556,0.6929
django__django-11211,woz,1,16,729470,686562,42881,6318,0.4616
django__django-15037,woz,1,26,1402383,1297606,104586,20505,1.0896
pydata__xarray-4695,woz,1,7,331752,265220,66511,4051,0.3898
sympy__sympy-13615,woz,1,14,692190,620095,72078,16636,0.7059
sphinx-doc__sphinx-9673,woz,1,42,2617273,2532993,84220,18041,1.3465
sphinx-doc__sphinx-9602,woz,0,27,2028411,1908963,119404,24896,1.394
astropy__astropy-8872,woz,0,23,979670,923403,56243,5647,0.5727
django__django-13121,woz,1,50,3073967,2978920,71124,34312,1.7468
sphinx-doc__sphinx-10614,woz,0,20,1157304,1091714,65568,31975,1.0531
astropy__astropy-13977,woz,0,22,945066,907489,37547,6999,0.5181
django__django-15280,woz,1,44,4251093,3867213,381979,196518,5.5461
django__django-15022,woz,1,37,2511690,2403576,108070,31606,1.6006
sympy__sympy-20801,woz,1,11,533490,500538,32927,4723,0.3446
sympy__sympy-12489,woz,1,23,995929,930484,65412,17254,0.7833
django__django-15973,woz,1,40,2429157,2336699,92403,13661,1.2526
django__django-11734,woz,0,52,4728712,4499775,225246,158329,4.5806
matplotlib__matplotlib-22871,woz,1,23,1176298,1114244,62028,8643,0.6966
django__django-15732,woz,0,30,1651912,1582557,69304,23207,1.0829
django__django-14122,woz,1,47,1934432,1885267,49128,14304,0.9645
matplotlib__matplotlib-20488,woz,1,46,4812707,4647644,165007,98364,3.4887
django__django-16899,woz,1,23,948108,892843,55241,4972,0.5497
sphinx-doc__sphinx-8548,woz,1,50,3691622,3557721,133827,26740,1.9705
matplotlib__matplotlib-26466,woz,0,21,856158,825724,30412,3205,0.4099
django__django-14007,woz,1,35,1810537,1755682,54807,15545,0.9655
pylint-dev__pylint-6386,woz,1,33,1730015,1678062,51919,10840,0.8608
pytest-dev__pytest-7205,woz,1,12,552969,496053,56897,3706,0.4178
django__django-16938,woz,1,43,2547674,2388923,71641,25016,1.6219
pydata__xarray-6938,woz,0,16,821177,774151,46994,9650,0.5533
django__django-14170,woz,0,34,1640935,1593109,47792,15427,0.8887
django__django-13297,headroom,0,59,3609678,3323249,284810,36803,2.6219
astropy__astropy-13579,headroom,1,29,1920847,1713406,204611,28858,1.7227
sphinx-doc__sphinx-11510,headroom,0,72,4140548,3756687,380928,25994,2.9542
pytest-dev__pytest-7324,headroom,1,17,1001653,940136,60225,26277,0.9059
sympy__sympy-15599,headroom,1,39,2648083,2469153,127659,121649,3.198
django__django-11433,headroom,1,9,869751,704315,164151,7055,0.9365
matplotlib__matplotlib-20826,headroom,1,33,2962050,2702216,257913,20332,2.0886
astropy__astropy-8707,headroom,0,16,735682,606941,94749,9626,0.7838
django__django-11087,headroom,0,37,2765131,2517490,243302,55753,2.5169
sympy__sympy-23413,headroom,0,15,727698,531066,195366,173146,3.4929
django__django-16661,headroom,1,20,966455,926313,38645,10561,0.5857
matplotlib__matplotlib-26466,headroom,0,20,887197,855308,30267,3716,0.4307
django__django-11749,headroom,0,22,931225,897336,32421,4150,0.4574
astropy__astropy-13236,headroom,1,85,5065645,4819268,194929,31549,2.8043
pydata__xarray-4695,headroom,1,10,1124969,947791,116235,12217,1.0863
django__django-11555,headroom,1,24,897734,851758,44669,4010,0.4871
pytest-dev__pytest-7205,headroom,1,23,1015503,946394,66538,6555,0.6395
pydata__xarray-6938,headroom,0,18,867436,820535,44720,7859,0.5383
django__django-16631,headroom,0,38,1785869,1741787,42734,8786,0.8186
sphinx-doc__sphinx-8548,headroom,1,43,2754468,2286670,466540,28787,2.8711
pydata__xarray-4356,headroom,1,21,956117,872678,82084,10128,0.7256
django__django-15022,headroom,0,71,5315583,4801855,511617,75448,4.4972
mwaskom__seaborn-3187,headroom,0,39,2029773,1962205,65977,19719,1.1366
sympy__sympy-21612,headroom,0,68,5228674,4976182,251040,47918,3.1574
matplotlib__matplotlib-21568,headroom,0,40,3185457,2832536,350734,33903,2.6801
django__django-14170,headroom,0,22,979399,924159,53601,9669,0.6282
django__django-13128,headroom,1,25,1431331,1266550,163522,10498,1.1544
django__django-16032,headroom,1,63,4731209,4463099,266663,53811,3.1504
sympy__sympy-24443,headroom,1,14,684428,640987,42095,14726,0.5751
django__django-15268,headroom,1,39,2116315,1960188,145460,21162,1.483
sphinx-doc__sphinx-9229,headroom,0,120,11252402,9658882,1591177,86727,10.1725
sympy__sympy-20801,headroom,1,9,502104,466763,34042,3786,0.3284
matplotlib__matplotlib-20488,headroom,1,72,6197524,5813273,335371,67306,4.1579
django__django-13837,headroom,1,23,1131878,1059661,70678,21878,0.9157
pylint-dev__pylint-6528,headroom,0,74,4954913,4617740,317247,25858,3.0226
matplotlib__matplotlib-26208,headroom,0,56,3635449,3242921,390658,29323,2.8833
psf__requests-5414,headroom,1,25,1046329,1005767,38941,7345,0.5628
astropy__astropy-13977,headroom,0,26,1213869,1168071,43618,5310,0.6002
pydata__xarray-6992,headroom,0,6,238021,213156,23282,1079,0.1722
pytest-dev__pytest-5840,headroom,0,19,1888134,1784292,102497,13411,1.1249
sphinx-doc__sphinx-10673,headroom,1,89,6211460,5613267,596578,40494,4.5334
django__django-11141,headroom,0,25,1112210,1029606,81286,10767,0.7792
django__django-15732,headroom,0,47,2996662,2858834,136491,15613,1.6077
django__django-15973,headroom,1,79,6592972,6017432,572463,45916,4.6499
django__django-15037,headroom,1,32,2711581,2488313,221952,19476,1.8749
sympy__sympy-12489,headroom,1,67,3450881,3331776,117643,16449,1.6918
matplotlib__matplotlib-24177,headroom,1,69,4473785,3853864,618161,39610,4.0737
pydata__xarray-4966,headroom,1,24,1336934,1271378,62925,19405,0.9164
django__django-11292,headroom,1,57,3239311,3015823,193631,20618,2.0297
django__django-14122,headroom,1,16,1336435,1259200,74807,9237,0.8041
sphinx-doc__sphinx-8035,headroom,0,52,3660988,3193471,442971,29223,3.1312
django__django-12754,headroom,1,34,2502113,2185755,314971,17162,2.0985
scikit-learn__scikit-learn-13124,headroom,0,101,6964282,6804667,155764,37886,3.2054
scikit-learn__scikit-learn-25102,headroom,1,66,3844576,3638232,204523,14042,2.0745
sympy__sympy-17318,headroom,0,35,1958133,1888040,67996,21901,1.1562
django__django-16899,headroom,1,18,697704,672453,23930,2771,0.337
matplotlib__matplotlib-25960,headroom,1,43,2392710,2293758,97554,17771,1.3247
sympy__sympy-23950,headroom,1,12,530763,469414,59975,3518,0.4226
django__django-12663,headroom,0,101,7852171,7652128,197848,56223,3.8875
matplotlib__matplotlib-22871,headroom,1,23,1148895,1064735,82578,9763,0.7803
sphinx-doc__sphinx-9602,headroom,0,45,3316281,2990537,324172,36769,2.6691
sphinx-doc__sphinx-8593,headroom,1,74,5267905,4813284,453251,31200,3.6158
sympy__sympy-20438,headroom,0,47,2640495,2337723,279479,28680,2.2494
sympy__sympy-12096,headroom,1,22,1008425,967371,39722,8097,0.5646
django__django-13112,headroom,1,88,5965515,4847927,1115737,50313,6.3986
sphinx-doc__sphinx-9658,headroom,1,44,3018371,2684826,331503,42502,2.6922
django__django-16938,headroom,1,55,2844909,2654581,187889,12747,1.6995
sympy__sympy-22456,headroom,1,23,1145752,1043750,100786,16997,0.9497
django__django-12193,headroom,1,22,768150,739822,27019,4451,0.394
sympy__sympy-18211,headroom,0,38,3058358,2595561,461393,34627,3.0325
astropy__astropy-13033,headroom,0,27,1093696,1039696,52112,11405,0.6841
django__django-16263,headroom,0,122,9933415,9437996,433732,123204,6.491
django__django-11734,headroom,0,97,9653134,9177733,473891,107770,6.1515
django__django-13121,headroom,1,54,3664953,3168521,494875,41200,3.429
sympy__sympy-13551,headroom,1,19,1163728,1047232,115132,20579,1.0587
sympy__sympy-13757,headroom,1,15,965292,892079,71895,7719,0.657
django__django-14792,headroom,0,62,4277019,3675749,599612,50605,4.1153
django__django-11211,headroom,1,35,2175830,2019940,143608,15208,1.4095
sphinx-doc__sphinx-10435,headroom,1,16,1270702,1161038,107610,14209,0.9711
django__django-13406,headroom,0,35,2027423,1707006,318277,24465,2.079
astropy__astropy-13453,headroom,1,17,805099,726907,74605,4534,0.5766
sphinx-doc__sphinx-9673,headroom,1,76,4942330,4722812,205147,24232,2.5927
django__django-14034,headroom,0,25,1208944,1159949,47486,12782,0.7223
sympy__sympy-21930,headroom,0,43,2166944,2106889,58689,18493,1.1336
pylint-dev__pylint-4604,headroom,0,31,1443333,1325016,116953,11731,1.0161
astropy__astropy-8872,headroom,0,16,1006854,943178,44734,9265,0.6465
sympy__sympy-13615,headroom,1,19,1244822,1109303,134305,26264,1.234
django__django-15280,headroom,1,56,4972552,4068269,880810,49162,5.3314
sympy__sympy-15976,headroom,1,26,1202897,1128775,72553,11188,0.7832
sympy__sympy-14976,headroom,1,28,1932840,1770628,160786,12949,1.3326
django__django-16454,headroom,1,42,2160069,2104978,53347,17028,1.0922
sphinx-doc__sphinx-10614,headroom,0,56,3167385,2898435,266826,38357,2.4519
sphinx-doc__sphinx-7440,headroom,1,61,3291673,3180865,109351,17894,1.6371
